PropertyClass,PropertyZone,PropertyFrontage,PropertySize,Street,Alley,PropertyShape,Elevation,Amenities,Orientation,Grade,Neighborhood,Condition1,Condition2,BldgType,PropertyStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Roof1Material,Roof2Material,ExteriorCladdingType,ExteriorCladdingArea,ExterQual,ExterCond,PropertyFooting,BsmntFinish,BsmntMaintenance,BsmntVisibility,BsmntFinRat1,BsmntFinSty1,BsmntFinQual1,BsmtFinSF2,BsmtUnfSF,BsmntSqFtage,Heating,HeatingEfficiency,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,Bath1,Bath2,BedroomUpLev,KitchenUpLev,KitchenQual,CntRmsUpLev,Functional,CntFireplaces,QualFireplace,BasementType,BasementYrBlt,BasementFinish,BasementCars,BasementSqFootage,BasementQual,BasementCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,BoundaryFeatures,AddFeatures,AddVal,SaleMon,SaleYr,SaleType,SaleCondn,PropPrice,TotalSF,TotalBathrooms,PropertyAge,RemodAge,IsRemodeled,TotalPorchSF,HasPool,HasGarage,HasFireplace
20,RL,70.0,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,0,0,None,None,0,2,2008,WD,Normal,129500,2080,2.0,43,43,0,0,0,1,0
60,RL,85.0,11924,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005.0,Fin,3,736,3,3,Y,147,21,0,0,0,0,0,None,None,0,7,2006,New,Partial,345000,3499,4.0,1,0,1,168,0,1,1
20,RL,71.0,12968,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,0,Detchd,1962.0,Unf,1,352,3,3,Y,140,0,0,0,176,0,0,None,None,0,9,2008,WD,Normal,144000,1824,2.0,46,46,0,316,0,1,0
20,RL,91.0,10652,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006.0,RFn,3,840,3,3,Y,160,33,0,0,0,0,0,None,None,0,8,2007,New,Partial,279500,2988,2.0,1,0,1,193,0,1,1
20,RL,73.0,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960.0,RFn,1,352,3,3,Y,0,213,176,0,0,0,0,GdWo,None,0,5,2008,WD,Normal,157000,2506,2.5,48,48,0,389,0,1,1
45,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,1991.0,Unf,2,576,3,3,Y,48,112,0,0,0,0,0,GdPrv,None,0,7,2007,WD,Normal,132000,1686,1.0,78,6,1,160,0,1,0
20,RL,73.0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,0,0,None,Shed,700,3,2010,WD,Normal,149000,2008,2.0,40,40,0,0,0,1,1
90,RL,72.0,10791,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,None,None,None,None,0,None,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,CarPort,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,0,0,None,Shed,500,10,2006,WD,Normal,90000,1296,2.0,39,39,0,0,0,1,0
20,RL,66.0,13695,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,2004.0,Unf,2,576,3,3,Y,0,102,0,0,0,0,0,None,None,0,6,2008,WD,Normal,159000,2228,2.5,4,4,0,102,0,1,0
20,RL,70.0,7560,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,0,Attchd,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,5,2009,COD,Abnorml,139000,2368,1.0,51,44,1,0,0,1,0
60,RL,101.0,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005.0,RFn,3,853,3,3,Y,240,154,0,0,0,0,0,None,None,0,11,2006,New,Partial,325300,3534,3.5,1,0,1,394,0,1,1
45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930.0,Unf,1,280,3,3,N,0,0,205,0,0,0,0,GdPrv,None,0,6,2007,WD,Normal,139400,1745,1.0,77,57,1,205,0,1,1
20,RL,75.0,9742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002.0,RFn,2,534,3,3,Y,171,159,0,0,0,0,0,None,None,0,9,2008,WD,Normal,230000,3572,2.0,6,6,0,330,0,1,1
120,RM,44.0,4224,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1976.0,Unf,2,572,3,3,Y,100,110,0,0,0,0,0,None,None,0,6,2007,WD,Normal,129900,2100,2.0,31,31,0,210,0,1,1
20,RL,71.0,8246,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,Unf,1,270,3,3,Y,406,90,0,0,0,0,0,MnPrv,None,0,5,2010,WD,Normal,154000,2120,2.0,42,9,1,496,0,1,1
20,RL,110.0,14230,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,RFn,3,890,3,3,Y,0,56,0,0,0,0,0,None,None,0,7,2009,WD,Normal,256300,3166,2.0,2,2,0,56,0,1,1
20,RL,60.0,7200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,0,Detchd,2005.0,Unf,2,576,3,3,Y,222,32,0,0,0,0,0,None,None,0,5,2010,WD,Normal,134800,1800,1.5,59,10,1,254,0,1,0
20,RL,98.0,11478,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2008.0,RFn,3,772,3,3,Y,0,50,0,0,0,0,0,None,None,0,5,2010,WD,Normal,306000,3408,3.0,3,2,1,50,0,1,1
20,RL,47.0,16321,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,Attchd,1957.0,RFn,1,319,3,3,Y,288,258,0,0,0,0,0,None,None,0,12,2006,WD,Normal,207500,3084,2.0,49,9,1,546,0,1,1
30,RM,60.0,6324,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,0,Detchd,1920.0,Unf,1,240,2,3,Y,49,0,87,0,0,0,0,None,None,0,5,2008,WD,Normal,68500,1040,1.0,81,58,1,136,0,1,0
70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,Unf,1,250,3,2,N,0,54,172,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,40000,1966,1.0,88,58,1,226,0,1,0
20,RL,71.0,8544,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,1966.0,Unf,1,271,3,3,Y,0,65,0,0,0,0,0,MnPrv,None,0,6,2008,WD,Normal,149350,2456,1.5,42,2,1,65,0,1,0
20,RL,85.0,11049,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2007.0,RFn,2,484,3,3,Y,0,30,0,0,0,0,0,None,None,0,1,2008,WD,Normal,179900,2468,2.0,1,1,0,30,0,1,0
20,RL,70.0,10552,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,Typ,1,4,Attchd,1959.0,RFn,2,447,3,3,Y,0,38,0,0,0,0,0,None,None,0,4,2010,WD,Normal,165500,3098,2.0,51,51,0,38,0,1,1
120,RL,60.0,7313,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,Fin,2,556,3,3,Y,203,47,0,0,0,0,0,None,None,0,8,2007,WD,Normal,277500,3122,3.0,2,2,0,250,0,1,1
60,RL,108.0,13418,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2004.0,Fin,3,691,3,3,Y,113,32,0,0,0,0,0,None,None,0,9,2006,WD,Normal,309000,3569,3.5,2,1,1,145,0,1,1
20,RL,112.0,10859,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1995.0,Unf,2,672,3,3,Y,392,64,0,0,0,0,0,None,None,0,6,2009,WD,Normal,145000,2194,1.5,15,14,1,456,0,1,0
20,RL,74.0,8532,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,3,Attchd,1954.0,Fin,2,498,3,3,Y,0,0,0,0,0,0,0,None,None,0,10,2009,WD,Normal,153000,2594,1.5,55,19,1,0,0,1,1
20,RL,68.0,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,Unf,1,246,3,3,Y,0,52,0,0,0,0,0,None,None,0,1,2010,WD,Abnorml,109000,2114,2.0,57,3,1,52,0,1,0
90,RL,65.0,6040,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,None,None,None,None,0,None,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,Typ,0,0,None,0.0,None,0,0,0,0,N,0,0,0,0,0,0,0,None,None,0,6,2008,WD,AdjLand,82000,1152,2.0,53,53,0,0,0,0,0
20,RL,84.0,8658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,3,Attchd,1965.0,RFn,2,440,3,3,Y,0,138,0,0,0,0,0,GdWo,None,0,12,2006,WD,Abnorml,160000,2412,2.0,41,41,0,138,0,1,1
20,RL,115.0,16905,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,4,Attchd,1959.0,RFn,1,308,3,3,P,0,104,0,0,0,0,0,None,None,0,7,2007,WD,Normal,170000,2678,2.0,48,48,0,104,0,1,1
85,RL,66.5,9180,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,0,Attchd,1983.0,RFn,2,504,3,4,Y,240,0,0,0,0,0,0,MnPrv,None,0,12,2007,WD,Normal,144000,1724,2.0,24,24,0,240,0,1,0
20,RL,70.0,9200,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1977.0,Unf,1,308,3,3,Y,145,0,0,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,130250,1876,2.0,33,28,1,145,0,1,0
20,RL,70.0,7945,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,1,300,3,3,Y,0,0,0,0,0,0,0,None,None,0,5,2006,WD,Normal,141000,2300,2.0,47,47,0,0,0,1,0
120,RL,61.0,7658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,RFn,2,576,3,3,Y,196,82,0,0,0,0,0,None,None,0,2,2010,WD,Normal,319900,3504,3.0,5,5,0,278,0,1,1
50,RL,48.0,12822,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,5,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,Typ,1,5,Attchd,2003.0,RFn,2,670,3,3,Y,168,43,0,0,198,0,0,None,None,0,8,2009,WD,Abnorml,239686,3583,2.5,6,6,0,409,0,1,1
